ScientificName,CommonName,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL
Balistes polylepis,Finescale Triggerfish,0.0547,2.66,g,cm,TL,Barroso-Soto et al. 2007,NA,NA,NA,,
Bathylagidae sp.,Deepsea Smelt,0.0132,2.853,g,cm,TL,used Bathylagus ochotensis,NA,NA,NA,,
Bathylagus ochotensis,Popey Blacksmelt,0.0132,2.853,g,cm,TL,Orlov and Binohlan 2009,NA,NA,NA,,
Bathymasteridae sp.,ronquil,1.14E-06,3.442696,g,mm,TL,used Rathbunella hypoplecta,NA,NA,NA,,
Bathyraja interrupta,Sandpaper Skate,2.43E-08,2.8549,kg,mm,TL,used Raja binoculata,NA,NA,NA,,
Blenniidae,blenny,1.58E-05,3.1049,g,mm,SL,used Hypsoblennius gentilis,1.1501,0.3994,REVERSE,used Hypsoblennius gentilis,TL= 1.1501 *SL + 3.994
Bodianus diplotaenia,Mexican Hogfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bothidae,lefteye flounders,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bothragonus swanii,Rockhead,0.001025,3.3283,g,cm,TL,used Sarritor leptorhynchus (Tokranov 1993),NA,NA,NA,,
Brachyistius frenatus,Kelp Perch,5.00E-06,3.3596,g,mm,SL,Miller et al. 2008,0.7823,0.53443,TYPICAL,VRG unpublished data,(SL = aTL+b)cm
Brosmophycis marginata,Red Brotula,4.37E-06,3.096414,g,mm,TL,Burge and Schultz 1973,NA,NA,NA,,
Caelorinchus scaphopsis,Shoulderspot Grenadier,4.37E-06,3.096414,g,mm,TL,used Brosmophycis marginata,NA,NA,NA,,
Carangidae,jacks,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Careproctus melanurus,Blacktail Snailfish,8.16E-06,3.09,g,mm,SL,Stein 1980,1.126,0,REVERSE,FishBase,TL=1.126SL
Caulolatilus princeps,Ocean Whitefish,3.04E-06,3.22,g,mm,TL,RecFIN,NA,NA,NA,,
Cebidichthys violaceus,Monkeyface Prickleback,0.01289,2.9,g,cm,SL,Marshall and Escheverria 1992,0.91,0,TYPICAL,used Chirolophis japonicus (FishBase),
Cephaloscyllium ventriosum,Swell Shark,3.00E-06,3.1276,g,mm,TL,Williams et al. 2013,NA,NA,NA,,
Chaenopsis alepidota,Orangethroat Pikeblenny,8.45E-08,3.3487,g,mm,SL,used Synganthus leptorhynchus,1.0212,0.11986,REVERSE,used Synganthus leptorhynchus,
Chaetodon humeralis,Threebanded Butterflyfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cheilotrema saturnum,Black Croaker,3.83E-05,2.9088,g,mm,SL,Williams et al. 2013,1.1944,0.13972,REVERSE,Williams et al. 2013,TL= 1.1944 *SL + 1.3972
Chilara taylori,Spotted Cusk-Eel,1.00E-06,3.2744,g,mm,SL,Miller et al. 2008,1,0,REVERSE,FishBase,TL=1.0SL
Chirolophis nugator,Mosshead Warbonnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chitonotus pugetensis,Roughback Sculpin,0.005064,3.267753,g,cm,TL,Love unpublished data,NA,NA,NA,,
Chromis alta,Silverstripe Chromis,2.69E-05,3.0177,g,mm,SL,used Chromis punctipinnis,1.27,0,REVERSE,used Chromis punctipinnis,TL=1.27SL
Chromis punctipinnis,Blacksmith,2.69E-05,3.0177,g,mm,SL,Williams et al. 2013,1.27,0,REVERSE,FishBase,TL=1.27SL
Citharichthys sordidus,Pacific Sanddab,0.00552,3.232454,g,cm,TL,Love and Nishimoto unpublished data,NA,NA,NA,,
Citharichthys sp.,sanddab,0.00552,3.232454,g,cm,TL,used Citharichthys sordidus,NA,NA,NA,,
Citharichthys stigmaeus,Speckled Sanddab,8.33E-06,3.1996,g,mm,SL,Williams et al. 2013,1.1699,0.0648,REVERSE,Williams et al. 2013,TL= 1.1699 *SL + 0.648
Citharichthys xanthostigma,Longfin Sanddab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clevelandia ios,Arrow Goby,2.55E-06,3.4162,g,mm,SL,Williams et al. 2013,1.1559,0.03651,REVERSE,Williams et al. 2013,TL= 1.1559 *SL + 0.3651
Clinidae,kelp blennies,4.80E-06,3.2364,g,mm,SL,used Gibbonsia elegans,1.1532,-0.03716,REVERSE,used Gibbonsia elegans,TL= 1.1532 *SL + -0.3716
Clinidae Type A,Kelpfish Type A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clinidae Type B,Kelpfish Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clinidae Type C,Kelpfish Type C,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clinidae Type D,Kelpfish Type D,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clinocottus analis,Wooly Sculpin,1.74E-05,2.958,g,mm,TL,Wells 1986,NA,NA,NA,,
Clupeidae,herrings,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clupeiformes,herrings and anchovies,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cololabus saira,Pacific Saury,3.83E-06,3.238,g,mm,SL,used Atherinops affinis,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192
Cosmocampus arctus,Snubnose Pipefish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cottidae,sculpins,3.19E-05,2.8831,g,mm,SL,used Artedius corallinus,0.8414,-0.10798,TYPICAL,used Artedius corallinus,(SL = aTL+b)cm
Cottidae Type A,Sculpin Type A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cottidae Type B,Sculpin Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cottidae Type E,Sculpin Type E,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cryptotrema corallinum,Deepwater Blenny,0.008303,3.089217,g,cm,TL,used Alloclinus holderi,NA,NA,NA,,
Cyclopteridae,lumpfishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cymatogaster aggregata,Shiner Perch,2.08E-05,3.0721,g,mm,SL,Williams et al. 2013,1.2398,0.18277,REVERSE,Williams et al. 2013,TL= 1.2398 *SL + 1.8277
