,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXONOMY,,,RANGE,,AGE and GROWTH,,,,,,,,,,,,,,,,,,,,,,REPRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISPERSAL & RECRUITMENT,,,,HABITAT ASSOCIATION & TROPHIC INTERACTIONS,,,,,,,,,,,,,,,,,,,,,GENETICS,,,,,,,,,RECRUITMENT INTO FISHERY,,,,,,MORTALITY,,,,,,,BEHAVIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 NG,"shallow water, among sessile inverts in areas of high currents 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottidae,"Leptocottus armatus 2,3,4","Pacific staghorn sculpin 3,5","Chignik, Alaska to San Quintin Bay, Baja California 1",Intertidal to 98 m (300 ft)1,4 W = 0.000341 SL 2.896,2 FL = 1.166(SL) + 1.549                  SL = 0.856(FL) - 1.116                   (range 56 - 178 mm SL; n=10),1 30.5 cm TL (12 in),"3 San Juan Island, WA (TL)",NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,3 otoliths/whole immersed in glycerin (n=262),No,No,NF,3 10 yr (228 mm TL),NF,Dioecious,NF,Oviparous 1,NF,NF,NF,"3 NG (SF Bay, CA)","3 12.8 - 15.3 cm TL (1 yr; SF Bay, CA)",NG,NG,Otoliths / whole,No,No,NF,"Walker Creek estuary (SF Bay, CA) 8",*****,*****,,,,,,,,,,,once annually 5,3 5000 eggs/female,NF,4 # maturing eggs = 0.355 TL 1.849            (range: ~135 - 235 mm TL),"2,3 9-14 days at 15oC ",NF,NF,NF,3 1.4 - 1.5 mm (avg 1.43 mm),"demersal 3,6,7,10",NF,2 ~4-11 mm TL,pelagic 2,NG 2,NF,NF,NF,2 <70 mm SL,"estuary (Anaheim Bay, southern CA) 2","carnivore: decapods,amphipods,fishes 2",NF,,gulls and cormorants 1,3 NG,"estuary (SF Bay, northern CA) 3","carnivore: shrimps,fishes 3",NF,NF,gulls and cormorants 1,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,Parasites: nematode Spirocamallanus pererai in gastrointestinal track 3,"3 0-800 m (Anaheim Bay, CA)","Resident: Elkhorn Slough, central CA (tidal embayment & seasonal estuary)1",NF,NF,NF,
,,"[bullhead, staghorn sculpin 4, cabezon, buffalo sculpin, smooth cabezon] 3",S Bering Sea to northern-central Baja2,max 275 m (906 ft) 3,5 W = 5.14 x 10-3 TL 3.31                        (TL = cm),2 TL = 1.013(FL) - 0.083                       FL = 0.987(TL) + 0.093                      (range 67 - 213 mm FL; n=10),2 46 cm TL (18 in),"4 San Francisco Bay, CA (TL)",NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,4 Length-frequency <2yr; Otoliths/Whole & cleared >2yr (n=146),No,No,,4 Male: 3 yr (193.5 mm TL);                 Female: 3 yr (197.3 mm TL),,,,external fertilization,,,,"3 12.0 - 12.2 cm TL (1 yr; Walker Creek, CA)","3 12.0 - 12.2 cm TL (1 yr; Walker Creek, CA)",NG,NG,Otoliths / whole,No,No,,"San Pablo Bay (SF Bay, CA) 9",*****,*****,,,,,,,,,,,group-synchronous (2-4 clutches) 6,,,,,,,,6 1.36 - 1.50 mm,"adhesive 3,6,10",,3 3.8-5.0 mm SL (hatching); 15-20 mm SL (transformation),pelagic 2,NG 3,,,,2 >70 mm SL,"estuary (Anaheim Bay, southern CA) 2","carnivore: (decapods, fishes) & opportunistic benthic feeder 2",,,Great Blue Heron (Ardea herodias) 2,3 NG,"estuary (Walker estuary, northern CA) 3","carnivore: amphipods,nereid worm,dipteran larvae, shrimp 3",,,Great Blue Heron (Ardea herodias) 2,,,,,,,,,,,,,,,,,,,,,,,,Parasite: nematode larvae Contracaecum in coelum 3,,"Resident: Elkhorn Slough, central CA (tidal embayment & seasonal estuary)2",,,,
,,,,,6 log W = -5.243 + 3.134 (log TL)                      (<190 mm TL),2 SL = 0.846(TL) - 1.056                          TL = 1.181(SL) + 1.462                      (range 68 - 215 mm TL; n=10),,"5 Anaheim Bay, CA (SL)",NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,5 length-frequency; otoliths/whole (<1yr),No,No,,5 NG,,,,,,,,,,,,,,,,San Francisco Bay 10,,,,,,,,,,,,,no evidence of multiple spawning6,,,,,,,,,,,4 4.5 mm SL (hatching); 15-20 mm SL (metamorphosis),NG 4,NG 4,,,,3 45-79 mm TL,"bay (Padilla Bay, WA) 3","carnivore: amphipods,isopods 3",,,Caspian tern (Hydroprogne caspia) 3,4 ³120 mm TL,"bay (Padilla Bay, WA) 4","carnivore: isopods,crabs,fish 4",,,Caspian tern (Hydroprogne caspia) 3,,,,,,,,,,,,,,,,,,,,,,,,Parasite: trematode (Gyrodactylus sp) on gills 3,,"Resident: Elkhorn Slough, central CA (tidal embayment & seasonal estuary)3",,,,
,,,,,8 W = 3.9-6 x TL 3.2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim Bay (S CA) 11,*****,*****,,,,,,,,,,,,,,,,,,,,,,5 3-11 mm SL,"tidal embayment & seasonal estuary (Elkhorn Slough, central CA) 5",NG 5,,,,3 80-119 mm TL,"bay (Padilla Bay, WA) 3","carnivore: amphipods,isopods,crabs 3",,,"waterfowl, ducks 4",5 NG,"Mugu Lagoon, southern CA 5",carnivore: bivalve siphons 5,,,"waterfowl, ducks 4",,,,,,,,,,,,,,,,,,,,,,,,Parasites: trematodes (Tubulovesicula lindbergi & Stephenostomum sp) in small intestine 3,,,,,,
